C_Address,C_Descrip,C_Date,C_Day of month,C_Hour,lat,lon
2518 HAWTHORNE ST, PC  BURGLARY RESIDENCE,1/1/2006 7:00,1,7,38.61197962,-121.4578062
AZEVEDO DR / YARWOOD WAY,PERSON INFORMATION - I RPT,1/1/2006 7:20,1,7,38.62099831,-121.5104473
6021 WILKINSON ST,M(B) PC ANNOY/RPT CALL HOME,1/1/2006 7:30,1,7,38.51755951,-121.4142712
1200 ROANOKE AVE, PC  BURGLARY VEHICLE,1/1/2006 7:45,1,7,38.63465784,-121.4392401
RIO LINDA BLVD / MAIN AVE,(A) HIT/RUN,1/1/2006 7:46,1,7,38.65509277,-121.4477394
398 FLORIN RD, PC ROBBERY- BUSINESS,1/1/2006 7:55,1,7,38.5076709,-121.5412748
525 EXCHANGE ST,CASUALTY REPORT,1/1/2006 7:55,1,7,38.65966202,-121.4535351
535 LAMPASAS AVE,(B)()(A) VANDALISM/ -$,1/1/2006 8:00,1,8,38.61499077,-121.4534714
12 GRAND CANYON CT,LOST PROPERTY - I RPT,1/1/2006 8:00,1,8,38.65699142,-121.5038615
3709 PRESIDIO ST,LOST PROPERTY - I RPT,1/1/2006 8:00,1,8,38.63500106,-121.4213652
FLORIN RD / FRANKLIN BLVD,LOST PROPERTY - I RPT,1/1/2006 8:00,1,8,38.49601155,-121.4592772
3615 33RD ST,J PC PUBLISH CARD INFO,1/1/2006 8:00,1,8,38.54182394,-121.4709505
2324 NORTH AVE,LOST PROPERTY - I RPT,1/1/2006 8:00,1,8,38.63963285,-121.4130509
2800 CHATEAU MONTELENA WAY, PC FALSE PERS REC PROP,1/1/2006 8:00,1,8,38.63351404,-121.5282646
1820 FRIENZA AVE, PC  BURGLARY BUSINESS,1/1/2006 8:00,1,8,38.61199425,-121.4244182
2230 J ST, US   THEFT OF MAIL,1/1/2006 8:00,1,8,38.57546355,-121.4761823
6581 HARMON DR,LOST PROPERTY - I RPT,1/1/2006 8:00,1,8,38.50771305,-121.5534498
6054 RIVERSIDE BLVD, PC USE PERSONAL ID INFO,1/1/2006 8:00,1,8,38.51617367,-121.5286379
1545 RIVER PARK DR, PETTY THEFT CLOUT UNLOCKED,1/1/2006 8:00,1,8,38.60088271,-121.4352821
1287 TRAIL END WAY,G(B) PC ACCESS CARD FRAUD,1/1/2006 8:00,1,8,38.63244741,-121.4903723
2215 BORONA WAY, PC FALSE PERS REC PROP,1/1/2006 8:00,1,8,38.62275946,-121.513946
6 SHELTER POINT CT,TELEPEST -I RPT,1/1/2006 8:00,1,8,38.51110856,-121.5343434
970 FRIENZA AVE,SUSP PERS-NO CRIME - I RPT,1/1/2006 8:00,1,8,38.61286644,-121.4444547
1631 W EL CAMINO AVE, PC FALSE PERS REC PROP,1/1/2006 8:00,1,8,38.61301252,-121.4993798
SWEET PEA WAY / SHADY ARBOR CT, VC AUTO THEFT LOCATE,1/1/2006 8:05,1,8,38.60758365,-121.5411045
RIO LINDA BLVD / MAIN AVE,TOWED/STORED VEHICLE,1/1/2006 8:57,1,8,38.65509277,-121.4477394
5878 KAHARA CT,M(B) PC ANNOY/RPT CALL HOME,1/1/2006 9:00,1,9,38.5206653,-121.515833
18 GODELLO CT, PC  BATTERY CIVILIAN,1/1/2006 9:15,1,9,38.62749128,-121.528707
7850 COLLEGE TOWN DR,(A)HS POSS AMPHETAMINES,1/1/2006 9:15,1,9,38.55456463,-121.4106138
4947 KOKOMO DR,TOWED/STORED VEHICLE,1/1/2006 9:30,1,9,38.66227019,-121.5291389
HOWE AVE / AMERICAN RIVER DR,TOWED/STORED VEHICLE,1/1/2006 9:45,1,9,38.5695415,-121.409084
4650 NATOMAS BLVD, PC EMBEZZLEMENT/CONTRACTOR,1/1/2006 9:53,1,9,38.65731154,-121.5119979
3724 SAN CARLOS WAY,MISSING PERSON I RPT,1/1/2006 10:00,1,10,38.54072015,-121.4620361
4410 CRESTWOOD WAY,BURGLARY - I RPT,1/1/2006 10:00,1,10,38.53437911,-121.5068742
1500 TESSA AVE,TOWED/STORED VEHICLE,1/1/2006 10:00,1,10,38.62194039,-121.431713
7500 HOSPITAL DR,THREATS - I RPT,1/1/2006 10:00,1,10,38.46337225,-121.4161718
8545 FOLSOM BLVD,MISSING PERSON,1/1/2006 10:00,1,10,38.54929974,-121.3882189
8105 PHINNEY DR, PC  BURGLARY RESIDENCE,1/1/2006 10:30,1,10,38.46449565,-121.456788
401 J ST,(B)()(A) VANDALISM/ -$,1/1/2006 10:30,1,10,38.58259727,-121.500996
3632 52ND ST, PC  BURGLARY RESIDENCE,1/1/2006 11:00,1,11,38.54100057,-121.4458147
SAN FRANCISCO BLVD / 50TH ST, HS POSS DRUG PARAPH,1/1/2006 11:01,1,11,38.53725889,-121.4477561
5524 DANJAC CIR,TOWED/STORED VEHICLE,1/1/2006 11:04,1,11,38.52545723,-121.5139339
2571 ALTOS AVE,CASUALTY REPORT,1/1/2006 11:08,1,11,38.61361383,-121.454378
414 K ST, PETTY THEFT-SHOPLIFT,1/1/2006 11:10,1,11,38.58062786,-121.5014996
7486 CARELLA DR,MISSING PERSON,1/1/2006 11:30,1,11,38.48682651,-121.5001978
7TH ST / J ST, HS POSS DRUG PARAPH,1/1/2006 11:30,1,11,38.58137649,-121.4974538
5701 LERNER WAY,MISSING PERSON,1/1/2006 11:30,1,11,38.48023792,-121.4360926
1321 E ST,HARASSMENT - I RPT,1/1/2006 11:46,1,11,38.58472227,-121.4858505
1912 BOWLING GREEN DR,O/S AGENCY -ASSISTANCE- I RPT,1/1/2006 11:49,1,11,38.60666541,-121.422421
3555 AUBURN BLVD,MISSING PERSON,1/1/2006 12:00,1,12,38.63862878,-121.3815598
7526 TITIAN PKWY,(A)VC TAKE VEH W/O OWNER,1/1/2006 12:00,1,12,38.48420982,-121.448306
12 WATERGLEN CIR,(D)GRAND THEFT FIREARM/ANIM,1/1/2006 12:00,1,12,38.56047289,-121.3902704
4733 NASHUA WAY,G(B) PC ACCESS CARD FRAUD,1/1/2006 12:00,1,12,38.65394829,-121.462463
971 ACACIA AVE,LOST PROPERTY - I RPT,1/1/2006 12:00,1,12,38.62221222,-121.4447319
3146 PALMER ST, PC USE PERSONAL ID INFO,1/1/2006 12:00,1,12,38.62524321,-121.4304825
8178 CENTER PKWY,M(A) PC OBSCENE/THREAT CALL,1/1/2006 12:00,1,12,38.46027205,-121.4304773
1820 FRIENZA AVE, PC  BURGLARY BUSINESS,1/1/2006 12:30,1,12,38.61199425,-121.4244182
1689 ARDEN WAY,(A) PC LEWD CONDUCT,1/1/2006 12:45,1,12,38.60154457,-121.42747
1029 FRIENZA AVE,TOWED/STORED VEHICLE,1/1/2006 12:45,1,12,38.61317258,-121.4424469
5770 FREEPORT BLVD,GANG ACTIVITY - I RPT,1/1/2006 13:00,1,13,38.52199137,-121.4990149
1113 CONGRESS AVE, HS POSS DRUG PARAPH,1/1/2006 13:10,1,13,38.63070055,-121.440864
3421 AUBURN BLVD, PC  BURGLARY-UNSPECIFIED,1/1/2006 13:49,1,13,38.6374478,-121.3846125
560 SANDBURG DR, PC USE PERSONAL ID INFO,1/1/2006 14:00,1,14,38.56839814,-121.4313525
7608 AMHERST ST,HARASSMENT - I RPT,1/1/2006 14:40,1,14,38.48020103,-121.5015786
3801 DUCKHORN DR, PC THREAT/INTENT TO TERROR,1/1/2006 14:57,1,14,38.63910642,-121.528
5TH ST / P ST,CASUALTY REPORT,1/1/2006 14:59,1,14,38.57543889,-121.5029735
7301 MEADOWGATE DR,(A)VC TAKE VEH W/O OWNER,1/1/2006 15:00,1,15,38.49203951,-121.4613302
5518 SAGPOND WAY,J PC PUBLISH CARD INFO,1/1/2006 15:00,1,15,38.6776884,-121.5345401
33RD ST / 11TH AVE,(A) VC HIT/RUN INJ/DEATH,1/1/2006 15:13,1,15,38.54199544,-121.4712254
35 QUAY CT,(A)VC TAKE VEH W/O OWNER,1/1/2006 15:30,1,15,38.5127908,-121.5313723
1814 19TH ST, PETTY THEFT-SHOPLIFT,1/1/2006 15:30,1,15,38.56796664,-121.4852542
2505 52ND AVE,LOST PROPERTY - I RPT,1/1/2006 15:30,1,15,38.50488174,-121.4804148
5770 FREEPORT BLVD,FOUND PROPERTY - I RPT,1/1/2006 15:36,1,15,38.52199137,-121.4990149
1751 BELL AVE,TOWED/STORED VEHICLE,1/1/2006 15:40,1,15,38.64823548,-121.4261249
3661 TRUXEL RD, PC   PETTY THEFT/INSIDE,1/1/2006 16:00,1,16,38.63589608,-121.5055312
3904 MAY ST,MISSING PERSON,1/1/2006 16:00,1,16,38.63869884,-121.4424398
1650 BAINES AVE, PC  BURGLARY RESIDENCE,1/1/2006 16:00,1,16,38.66157492,-121.4969793
6272 MACK RD,(A) PC GRAND THEFT,1/1/2006 16:00,1,16,38.47415723,-121.4296995
8389 FOLSOM BLVD, PC   PETTY THEFT/INSIDE,1/1/2006 16:00,1,16,38.54818818,-121.3940644
FOLSOM BLVD / WATT AVE,NON INJ HR/MAIL OUT REPORT,1/1/2006 16:25,1,16,38.5530906,-121.3751255
1801 BELL AVE,TOWED/STORED VEHICLE,1/1/2006 16:30,1,16,38.64770425,-121.4242104
2314 Q ST,TRAFFIC-ACCIDENT-NON INJURY,1/1/2006 16:51,1,16,38.56737967,-121.4786515
2340 MOSSY BANK DR,(A)VC TAKE VEH W/O OWNER,1/1/2006 16:57,1,16,38.60972461,-121.4953467
8101 COSUMNES RIVER BLVD, HS POSS DRUG PARAPH,1/1/2006 16:57,1,16,38.45718227,-121.4133413
J ST / 17TH ST,TRAFFIC-ACCIDENT-NON INJURY,1/1/2006 16:59,1,16,38.5777553,-121.4838823
8200 CENTER PKWY,(A)VC TAKE VEH W/O OWNER,1/1/2006 17:00,1,17,38.45964489,-121.4291448
6421 SUN RIVER DR, PETTY THEFT/LICENSE PLATE,1/1/2006 17:00,1,17,38.50926564,-121.4129728
3715 IVY ST, PC  BURGLARY RESIDENCE,1/1/2006 17:00,1,17,38.63535055,-121.4281542
3157 BRIDGEFORD DR,LOST PROPERTY - I RPT,1/1/2006 17:00,1,17,38.62642643,-121.487454
11TH ST / F ST, JUSTIFIABLE HOMI-CIVILIAN,1/1/2006 17:30,1,17,38.58432423,-121.4902264
17TH ST / Q ST,TRAFFIC-ACCIDENT-NON INJURY,1/1/2006 17:37,1,17,38.57001564,-121.4872296
FRUITRIDGE RD / 53RD ST,(A) VC HIT/RUN INJ/DEATH,1/1/2006 17:41,1,17,38.52496323,-121.4438874
5301 FRUITRIDGE RD,(A) VC DUI CAUSE INJURY,1/1/2006 17:41,1,17,38.52517945,-121.4443121
2890 GROVE AVE,(A)()AWDW/NO FIREARM/CIVIL,1/1/2006 18:00,1,18,38.62009985,-121.4590851
2828 CONNIE DR,MISSING PERSON,1/1/2006 18:00,1,18,38.6176064,-121.4204494
3700 32ND ST,(B)()PC  VANDALISM +$,1/1/2006 18:00,1,18,38.54069286,-121.4728119
1632 BROADWAY,(B)()(A) VANDALISM/ -$,1/1/2006 18:00,1,18,38.56108765,-121.4913716
1729 DIGGS PARK DR,TRAFFIC-ACCIDENT-NON INJURY,1/1/2006 18:10,1,18,38.62764502,-121.4258496
5301 FRUITRIDGE RD,TOWED/STORED VEHICLE,1/1/2006 18:19,1,18,38.52517945,-121.4443121
2700 DEL PASO RD, PETTY THEFT-SHOPLIFT,1/1/2006 18:23,1,18,38.65543537,-121.5223763
7290 FRANKLIN BLVD, PC  ROBBERY UNSPECIFIED,1/1/2006 18:55,1,18,38.49250972,-121.4579445
700 N 5TH ST,(A) FUGITIVE FROM JUSTICE,1/1/2006 18:55,1,18,38.60057486,-121.4940223
321 ELEANOR AVE,MISSING PERSON,1/1/2006 19:00,1,19,38.61712192,-121.4587997
321 ELEANOR AVE,MISSING PERSON,1/1/2006 19:00,1,19,38.61712192,-121.4587997
7659 MASTERS ST,(A)VC TAKE VEH W/O OWNER,1/1/2006 19:00,1,19,38.44227407,-121.4127165
3644 DAYTON ST, PC  BURGLARY VEHICLE,1/1/2006 19:00,1,19,38.63425266,-121.4177759
2800 BROADWAY, PC   PETTY THEFT/INSIDE,1/1/2006 19:00,1,19,38.55701398,-121.4762723
1418 E ST,MISCELLANEOUS I RPT (ZMISC),1/1/2006 19:11,1,19,38.58376222,-121.4848464
3514 37TH ST, PC  BURGLARY VEHICLE,1/1/2006 19:40,1,19,38.54242302,-121.4674602
227 JIBBOOM ST, PC   PETTY THEFT/INSIDE,1/1/2006 19:59,1,19,38.59572389,-121.5050785
78 REDWOOD AVE,(A)VC TAKE VEH W/O OWNER,1/1/2006 20:00,1,20,38.609884,-121.46479
3311 LONG BRANCH CT, PC  BURGLARY VEHICLE,1/1/2006 20:00,1,20,38.62798992,-121.5092581
1601 ARDEN WAY, PC  BURGLARY VEHICLE,1/1/2006 20:00,1,20,38.60240036,-121.4295032
1701 13TH ST,TELEPEST -I RPT,1/1/2006 20:00,1,20,38.57117547,-121.4924504
7770 52ND AVE, PC  BURGLARY RESIDENCE,1/1/2006 20:05,1,20,38.50482198,-121.4112131
2621 STONECREEK DR,THREATS - I RPT,1/1/2006 20:30,1,20,38.61328867,-121.494681
EL CAMINO AVE / GROVE AVE,TOWED/STORED VEHICLE,1/1/2006 20:40,1,20,38.61112465,-121.4593596
3200 TRUXEL RD,THREATS - I RPT,1/1/2006 20:49,1,20,38.62581805,-121.4971301
2540 VENTURE OAKS WAY,(A)VC TAKE VEH W/O OWNER,1/1/2006 21:00,1,21,38.61102318,-121.5119472
1732 ELDRIDGE AVE,(A) GRAND THEFT-INSIDE,1/1/2006 21:00,1,21,38.62266231,-121.4260893
23RD ST / Q ST,(A) VC HIT/RUN INJ/DEATH,1/1/2006 21:10,1,21,38.56788759,-121.4792459
NORTHGATE BLVD / ROSIN CT,(A) HIT/RUN,1/1/2006 21:11,1,21,38.63659439,-121.4763493
5530 STOCKTON BLVD,(A)() PC DIRK/DAGGER,1/1/2006 21:15,1,21,38.52654807,-121.4434066
FRANKLIN BLVD / FLORIN RD,(A) VC HIT/RUN INJ/DEATH,1/1/2006 21:33,1,21,38.49601155,-121.4592772
1609 BOWLING GREEN DR,(A)VC TAKE VEH W/O OWNER,1/1/2006 22:00,1,22,38.60311006,-121.4269745
1422 BREWERTON DR,(A)VC TAKE VEH W/O OWNER,1/1/2006 22:00,1,22,38.61589867,-121.4924786
2000 DEL PASO BLVD, HS POSS DRUG PARAPH,1/1/2006 22:00,1,22,38.60880668,-121.4528434
MCGLASHAN ST / PERRY AVE,(A) HIT/RUN,1/1/2006 22:00,1,22,38.53137433,-121.4506403
PERRY AVE / 46TH ST,(A) HIT/RUN,1/1/2006 22:00,1,22,38.5313798,-121.4523742
8552 ERINBROOK WAY, PC  BURGLARY VEHICLE,1/1/2006 22:00,1,22,38.56165546,-121.3880115
4100 NORTHGATE BLVD, PC  BURGLARY VEHICLE,1/1/2006 22:00,1,22,38.64316291,-121.4745819
7901 34TH AVE,(B)()(A) VANDALISM/ -$,1/1/2006 22:00,1,22,38.52225475,-121.4114993
630 JESSIE AVE,(A)()AWDW/NO FIREARM/CIVIL,1/1/2006 22:10,1,22,38.64390931,-121.4507882
4 WAYNE CT,VANDALISM - I RPT,1/1/2006 22:28,1,22,38.51585237,-121.3675001
3800 STOCKTON BLVD,(A)VC TAKE VEH W/O OWNER,1/1/2006 22:30,1,22,38.54020494,-121.4505653
5907 BAMFORD DR, HS POSS DRUG PARAPH,1/1/2006 22:30,1,22,38.47226256,-121.4336162
5425 RIO LINDA BLVD,(A)VC TAKE VEH W/O OWNER,1/1/2006 22:30,1,22,38.66757714,-121.4538176
2ND ST / I ST,(D) PC BATT/CIVILIAN W/INJ,1/1/2006 22:36,1,22,38.5842425,-121.5036468
23RD ST / J ST,(A)()AWDW/NO FIREARM/CIVIL,1/1/2006 22:45,1,22,38.57562427,-121.4758978
2116 MABRY DR,THREATS - I RPT,1/1/2006 22:54,1,22,38.67667622,-121.5088422
1906 BOWLING GREEN DR, PC  BATTERY CIVILIAN,1/1/2006 23:00,1,23,38.60667473,-121.4226379
330 U ST,(A) PC GRAND THEFT,1/1/2006 23:00,1,23,38.57016732,-121.5069731
PRINCETON ST / GLENROSE AVE, VC AUTO THEFT LOCATE,1/1/2006 23:05,1,23,38.61472939,-121.4300065
